Datum,Gemeentenaam,Provincienaam,Aantal,Provincie_aantal,Aantal_yes,Provincie_aantal_yes,Datum_yes2,Aantal_y,Provincie_aantal_yes2,Aantal_yes3,Provincie_aantal_yes3,outbreak_days,high_temp_degree,low_temp_degree,hist_Gemiddeld_degree_low,hist_Gemiddeld_degree_high,Gemeenten2016_Bevolking,Gemeenten2016_Beweegrichtlijnen,Gemeenten2016_Eenzaam,Gemeenten2016_Ernstig_zeerernstigeenzaam,Gemeenten2016_Ernstigehinderspoorwegen,Gemeenten2016_Ernstigehindervliegtuigen,Gemeenten2016_Ernstigehinderwegenless_than_50km_u,Gemeenten2016_Ernstigehinderwegenmore_than_50km_u,Gemeenten2016_Gehoorbeperking,Gemeenten2016_Gezichtsbeperking,Gemeenten2016_Goed_zeergoedervarengezondheid,Gemeenten2016_Hoogrisicoopangstofdepressie,Gemeenten2016_Langdurigeziekteofaandoening,Gemeenten2016_Mantelzorger,Gemeenten2016_Mantelzorgontvangenafg12mnd_65above,Gemeenten2016_Matig_hoogrisicoopangstofdepressie,Gemeenten2016_Matig_veelregieovereigenleven,Gemeenten2016_Minstenseenbeperking,Gemeenten2016_Mobiliteitsbeperking,Gemeenten2016_Obesitas,Gemeenten2016_Overgewicht,Gemeenten2016_Roker,Gemeenten2016_Sporter,Gemeenten2016_Voldoetaanalcoholrichtlijn,Gemeenten2016_Vrijwilligerswerk,record_count,doc_record_count
2020-03-03,haarlem,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,5,9,0,2,6,158140,54,44,11,2,3,6,3,4,6,77,7,33,12,13,46,90,14,10,12,44,23,55,36,24,613,915
2020-03-03,alphen aan den rijn,zuid-holland,1,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,5,9,0,2,6,107960,52,42,9,1,5,5,3,5,5,77,6,35,14,14,48,89,15,9,14,51,20,50,41,30,288,400
2020-03-03,delft,zuid-holland,1,109279,1.0,109279.0,2020-03-01 00:00:00,1.0,109279.0,1.0,109279.0,5,9,0,2,7,101034,60,51,13,0,1,4,3,3,5,76,8,34,11,13,50,90,14,10,12,45,22,56,42,26,282,664
2020-03-03,rotterdam,zuid-holland,1,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,5,9,0,2,7,629606,47,52,15,1,2,7,4,6,10,68,11,37,10,16,51,85,21,15,17,51,27,44,51,21,1983,3759
2020-03-03,eindhoven,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,5,10,1,2,8,224755,51,50,14,2,4,8,6,5,7,72,9,32,13,18,52,87,17,11,13,45,24,54,37,24,760,2169
2020-03-03,helmond,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,5,9,0,2,8,90127,49,47,12,6,3,8,6,5,7,71,9,35,15,16,49,87,18,12,16,52,23,49,39,24,273,532
2020-03-03,loon op zand,noord-brabant,4,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,5,10,1,2,8,22929,48,42,10,1,3,5,3,6,6,74,6,32,16,17,45,90,17,11,16,54,19,50,38,28,54,49
2020-03-03,oss,noord-brabant,1,131760,0.0,0.0,0,0.0,0.0,0.0,0.0,5,9,0,2,8,90003,49,43,10,2,2,7,3,6,7,73,7,35,16,17,46,89,18,12,17,54,22,49,39,29,241,324
2020-03-03,tilburg,noord-brabant,2,131760,4.0,131760.0,2020-03-01 00:00:00,4.0,131760.0,3.0,131760.0,5,10,1,2,8,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-03-03,altena,noord-brabant,3,131760,1.0,131760.0,2020-03-01 00:00:00,1.0,131760.0,0.0,0.0,5,10,1,2,8,54083,133,120,24,0,15,16,8,16,15,230,15,90,51,50,130,268,44,28,45,158,55,127,138,112,157,143
2020-03-04,coevorden,drenthe,2,6742,2.0,6742.0,2020-03-02 00:00:00,1.0,6742.0,1.0,6742.0,6,10,-1,1,7,35381,46,42,9,0,2,4,2,6,6,76,6,36,14,16,37,88,18,12,17,56,22,40,40,34,97,88
2020-03-04,zaltbommel,gelderland,1,69886,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,1,2,8,27543,45,41,9,3,5,3,5,5,5,76,6,32,15,16,46,90,16,10,15,53,20,42,46,34,81,92
2020-03-04,houten,utrecht,1,43217,1.0,43217.0,0,0.0,0.0,0.0,0.0,6,10,1,2,8,48765,55,38,8,4,0,2,2,3,4,80,5,31,16,15,40,93,11,7,13,46,16,59,40,34,159,182
2020-03-04,utrecht,utrecht,2,43217,2.0,43217.0,0,0.0,0.0,0.0,0.0,6,10,1,2,8,338967,57,44,12,2,2,10,6,4,6,75,9,31,10,17,52,89,14,10,12,40,24,58,39,26,1261,2774
2020-03-04,amsterdam,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,2,2,7,833624,56,49,13,2,7,10,6,4,7,74,9,33,9,14,50,89,16,11,13,42,28,53,41,21,2900,6680
2020-03-04,beverwijk,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,2,2,7,40318,51,45,11,2,9,6,3,5,7,75,7,35,13,15,44,89,17,11,16,53,23,49,41,21,109,266
2020-03-04,blaricum,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,1,2,8,9622,50,38,8,0,1,6,6,4,4,79,5,33,15,10,37,91,12,8,10,44,16,56,34,32,50,89
2020-03-04,diemen,noord-holland,2,83056,3.0,83056.0,2020-03-02 00:00:00,3.0,83056.0,3.0,83056.0,6,10,2,2,7,26840,52,46,12,3,4,6,3,4,6,76,7,33,11,13,46,90,15,10,13,46,24,52,42,24,63,97
2020-03-04,haarlem,noord-holland,1,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,6,10,2,2,7,158140,54,44,11,2,3,6,3,4,6,77,7,33,12,13,46,90,14,10,12,44,23,55,36,24,613,915
2020-03-04,alphen aan den rijn,zuid-holland,1,109279,1.0,109279.0,0,0.0,0.0,0.0,0.0,6,10,2,2,7,107960,52,42,9,1,5,5,3,5,5,77,6,35,14,14,48,89,15,9,14,51,20,50,41,30,288,400
2020-03-04,delft,zuid-holland,1,109279,1.0,109279.0,2020-03-02 00:00:00,1.0,109279.0,1.0,109279.0,6,10,3,2,8,101034,60,51,13,0,1,4,3,3,5,76,8,34,11,13,50,90,14,10,12,45,22,56,42,26,282,664
2020-03-04,hardinxveld-giessendam,zuid-holland,1,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,2,2,8,17774,44,39,8,3,1,5,3,4,4,79,5,30,16,17,40,90,13,9,15,51,18,43,51,39,44,52
2020-03-04,rotterdam,zuid-holland,3,109279,1.0,109279.0,0,0.0,0.0,0.0,0.0,6,10,3,2,8,629606,47,52,15,1,2,7,4,6,10,68,11,37,10,16,51,85,21,15,17,51,27,44,51,21,1983,3759
2020-03-04,eindhoven,noord-brabant,1,131760,1.0,131760.0,0,0.0,0.0,0.0,0.0,6,11,2,2,8,224755,51,50,14,2,4,8,6,5,7,72,9,32,13,18,52,87,17,11,13,45,24,54,37,24,760,2169
2020-03-04,helmond,noord-brabant,4,131760,1.0,131760.0,0,0.0,0.0,0.0,0.0,6,11,2,2,8,90127,49,47,12,6,3,8,6,5,7,71,9,35,15,16,49,87,18,12,16,52,23,49,39,24,273,532
2020-03-04,loon op zand,noord-brabant,5,131760,4.0,131760.0,0,0.0,0.0,0.0,0.0,6,10,2,2,8,22929,48,42,10,1,3,5,3,6,6,74,6,32,16,17,45,90,17,11,16,54,19,50,38,28,54,49
2020-03-04,oss,noord-brabant,1,131760,1.0,131760.0,0,0.0,0.0,0.0,0.0,6,11,2,2,8,90003,49,43,10,2,2,7,3,6,7,73,7,35,16,17,46,89,18,12,17,54,22,49,39,29,241,324
