col_name;Key;Title;Description
"WijkenEnBuurten";"WK073805  ";"Wijk 05 Drongelen";
"WijkenEnBuurten";"BU07380500";"Drongelen";
"WijkenEnBuurten";"BU07380509";"Verspreide huizen Drongelen";
"WijkenEnBuurten";"WK073806  ";"Wijk 06 Babyloniënbroek";
"WijkenEnBuurten";"BU07380600";"Babyloniënbroek";
"WijkenEnBuurten";"BU07380609";"Verspreide huizen Babyloniënbroek";
"WijkenEnBuurten";"GM0358    ";"Aalsmeer";
"WijkenEnBuurten";"WK035800  ";"Wijk 00 Aalsmeer";
"WijkenEnBuurten";"BU03580000";"Centrum";
"WijkenEnBuurten";"BU03580001";"Stommeer";
"WijkenEnBuurten";"BU03580004";"Hornmeer";
"WijkenEnBuurten";"BU03580005";"Uiterweg";
"WijkenEnBuurten";"WK035801  ";"Wijk 01 Kudelstraat en Kalslagen";
"WijkenEnBuurten";"BU03580100";"Kudelstaart";
"WijkenEnBuurten";"WK035802  ";"Wijk 02 Oosteinde";
"WijkenEnBuurten";"BU03580200";"Bovenlanden";
"WijkenEnBuurten";"BU03580201";"Greenpark";
"WijkenEnBuurten";"BU03580205";"Oosteinde";
"WijkenEnBuurten";"BU03580206";"Schinkelpolder";
"WijkenEnBuurten";"GM0197    ";"Aalten";
"WijkenEnBuurten";"WK019701  ";"Wijk 01 Buitengebied Aalten";
"WijkenEnBuurten";"BU01970101";"Barlo-Kern";
"WijkenEnBuurten";"BU01970102";"Verspreide huizen Barlo";
"WijkenEnBuurten";"BU01970103";"Verspreide huizen Heurne";
"WijkenEnBuurten";"BU01970104";"Verspreide huizen IJzerlo";
"WijkenEnBuurten";"BU01970105";"Ijzerlo-kern";
"WijkenEnBuurten";"BU01970106";"Lintelo-kern";
"WijkenEnBuurten";"BU01970107";"Verspreide huizen ten westen van Aalten";
"WijkenEnBuurten";"BU01970108";"Verspreide huizen Lintelo";
"WijkenEnBuurten";"BU01970109";"Verspreide huizen Dalese Veld";
"WijkenEnBuurten";"BU01970110";"Verspreide huizen Dale";
"WijkenEnBuurten";"BU01970111";"Verspreide huizen Haart";
"WijkenEnBuurten";"BU01970112";"Haart-kern";
"WijkenEnBuurten";"WK019702  ";"Wijk 02 Bredevoort";
"WijkenEnBuurten";"BU01970201";"Verspreide huizen Bredevoort";
"WijkenEnBuurten";"BU01970202";"Verspreide huizen Hollenberg";
"WijkenEnBuurten";"BU01970203";"Verspreide huizen Het Zwanenbroek";
"WijkenEnBuurten";"BU01970204";"Bredevoort";
"WijkenEnBuurten";"WK019703  ";"Wijk 03 Aalten Kern";
"WijkenEnBuurten";"BU01970301";"Aalten-kern West";
"WijkenEnBuurten";"BU01970302";"Aalten-kern Zuid 1";
"WijkenEnBuurten";"BU01970303";"Aalten-kern Zuid 2";
"WijkenEnBuurten";"BU01970304";"Aalten-kern Noord/Noordoost";
"WijkenEnBuurten";"BU01970305";"Aalten Kern 't Kobus";
"WijkenEnBuurten";"BU01970306";"Aalten-kern Oost";
"WijkenEnBuurten";"BU01970307";"Aalten-kern Centrum";
"WijkenEnBuurten";"WK019704  ";"Wijk 04 Dinxperlo";
"WijkenEnBuurten";"BU01970400";"Dinxperlo Centrum/Oost";
"WijkenEnBuurten";"BU01970401";"Dinxperlo Noord";
"WijkenEnBuurten";"BU01970402";"Dinxperlo West";
"WijkenEnBuurten";"BU01970403";"De Heurne-kern";
"WijkenEnBuurten";"BU01970408";"Verspreide huizen Dinxperlo";
"WijkenEnBuurten";"BU01970409";"Verspreide huizen De Heurne";
"WijkenEnBuurten";"GM0059    ";"Achtkarspelen";
"WijkenEnBuurten";"WK005900  ";"Wijk 00 Noord";
"WijkenEnBuurten";"BU00590000";"Buitenpost";
"WijkenEnBuurten";"BU00590001";"Twijzel";
"WijkenEnBuurten";"BU00590002";"Kootstertille";
"WijkenEnBuurten";"BU00590003";"Twijzelerheide";
"WijkenEnBuurten";"BU00590004";"Gerkesklooster";
"WijkenEnBuurten";"BU00590005";"Verspreide huizen Buitenpost";
"WijkenEnBuurten";"BU00590006";"Verspreide huizen Twijzel";
"WijkenEnBuurten";"BU00590007";"Verspreide huizen Kootstertille";
"WijkenEnBuurten";"BU00590008";"Verspreide huizen Twijzelerheide";
"WijkenEnBuurten";"BU00590009";"Verspreide huizen Gerkesklooster";
"WijkenEnBuurten";"WK005901  ";"Wijk 01 Centrum";
"WijkenEnBuurten";"BU00590100";"Stroobos";
"WijkenEnBuurten";"BU00590102";"Drogeham";
"WijkenEnBuurten";"BU00590103";"Augustinusga";
"WijkenEnBuurten";"BU00590107";"Verspreide huizen Stroobos";
"WijkenEnBuurten";"BU00590108";"Verspreide huizen Drogeham";
"WijkenEnBuurten";"BU00590109";"Verspreide huizen Augustinusga";
"WijkenEnBuurten";"WK005902  ";"Wijk 02 Zuid";
"WijkenEnBuurten";"BU00590200";"Surhuisterveen";
"WijkenEnBuurten";"BU00590201";"Harkema";
"WijkenEnBuurten";"BU00590202";"Surhuizum";
"WijkenEnBuurten";"BU00590203";"Boelenslaan";
"WijkenEnBuurten";"BU00590206";"Verspreide huizen Surhuisterveen";
"WijkenEnBuurten";"BU00590207";"Verspreide huizen Harkema";
"WijkenEnBuurten";"BU00590208";"Verspreide huizen Surhuizum";
"WijkenEnBuurten";"BU00590209";"Verspreide huizen Boelenslaan";
"WijkenEnBuurten";"GM0482    ";"Alblasserdam";
"WijkenEnBuurten";"WK048201  ";"Wijk 01 Centrum";
"WijkenEnBuurten";"BU04820101";"Cortgene";
"WijkenEnBuurten";"BU04820102";"Redersbuurt";
"WijkenEnBuurten";"BU04820103";"kerkbuurt";
"WijkenEnBuurten";"BU04820104";"Polderbuurt";
"WijkenEnBuurten";"BU04820105";"De Werven";
"WijkenEnBuurten";"WK048202  ";"Wijk 02 Kinderdijk";
"WijkenEnBuurten";"BU04820201";"Dijk";
"WijkenEnBuurten";"BU04820202";"Vogelbuurt";
"WijkenEnBuurten";"BU04820203";"Waterland";
"WijkenEnBuurten";"BU04820204";"Groene Long";
"WijkenEnBuurten";"BU04820205";"Rivierenbuurt";
"WijkenEnBuurten";"BU04820206";"Nieuw Kinderdijk";
"WijkenEnBuurten";"WK048203  ";"Wijk 03 Blokweer";
"WijkenEnBuurten";"BU04820301";"Zeelt";
"WijkenEnBuurten";"BU04820302";"Middelland";
"WijkenEnBuurten";"BU04820303";"Blokweer Noord";
"WijkenEnBuurten";"BU04820304";"Blokweer Zuid";
"WijkenEnBuurten";"BU04820305";"Drentsebuurt";
"WijkenEnBuurten";"BU04820306";"Florabuurt";
"WijkenEnBuurten";"BU04820307";"Staatsliedenbuurt";
"WijkenEnBuurten";"WK048204  ";"Wijk 04 Souburgh";
"WijkenEnBuurten";"BU04820401";"Schildersbuurt";
"WijkenEnBuurten";"BU04820402";"Schrijversbuurt";
"WijkenEnBuurten";"BU04820403";"Klein Alblas";
"WijkenEnBuurten";"BU04820404";"Oranjebuurt";
"WijkenEnBuurten";"WK048205  ";"Wijk 05 Bedrijventerrein";
"WijkenEnBuurten";"BU04820501";"Vinkenwaard";
"WijkenEnBuurten";"BU04820502";"Hoogendijk";
